city_name,city_split,policy,seed,demand_scale,row_type,completed_vehicles,departed_vehicles,vehicles_remaining,completion_rate,teleport_count,throughput_per_hour,average_waiting_time_s,average_travel_time_s,average_time_loss_s,average_queue_length_vehicles,max_queue_length_vehicles,average_wait_density_s_per_m,phase_switch_frequency_per_junction_per_minute,average_tls_passes_per_vehicle,average_stops_before_tls_per_vehicle,nonstop_tls_pass_rate,average_best_nonstop_tls_streak
stuttgart_mitte,train,queue,200,1.2,seed,1279,2768,1489,0.4620664739884393,0,3837.0,105.56763096168882,365.71227521501174,164.8032290852227,0.7141108749557202,64.0,1.1740401279535424,1.692753623188406,5.767005473025802,3.45113369820172,0.4015726681127983,1.6231430805316653
heidelberg_bergheim,train,learned,200,0.8,seed,675,1051,376,0.6422454804947669,0,2025.0,125.59407407407407,392.21777777777777,174.18782222222242,0.30289090501792215,23.0,0.6680588481337864,1.0383928571428571,5.8133333333333335,2.1955555555555555,0.6223241590214067,2.462222222222222
heidelberg_bergheim,train,learned,200,1.2,seed,622,1265,643,0.491699604743083,0,1866.0,105.09807073954984,359.11575562700966,149.1528778135048,0.43300515232975034,45.0,1.1277536506499113,0.9946428571428572,5.514469453376206,2.059485530546624,0.6265306122448979,2.4517684887459805
heidelberg_bergheim,train,max-pressure,200,0.8,seed,907,1051,144,0.8629876308277831,1,2721.0,74.79272326350606,357.95700110253586,129.28396912899657,0.07882392473118267,16.0,0.03224998089418596,1.60625,6.454244762954796,3.456449834619625,0.46446873932353944,1.9151047409040793
heidelberg_bergheim,train,max-pressure,200,1.2,seed,1008,1271,263,0.7930763178599528,0,3024.0,75.86111111111111,358.5515873015873,130.51592261904761,0.12463261648745541,20.0,0.12524618287712966,1.7214285714285715,6.464285714285714,3.5515873015873014,0.45058317986494784,1.8412698412698412
heidelberg_bergheim,train,queue,200,0.8,seed,880,1051,171,0.8372978116079924,0,2640.0,64.58068181818182,346.9170454545455,119.27627272727277,0.0919903673835127,15.0,0.12948759684325506,1.5223214285714286,6.469318181818182,3.5977272727272727,0.44387844721587916,1.8602272727272726
heidelberg_bergheim,train,queue,200,1.2,seed,1002,1271,269,0.7883556254917388,0,3006.0,78.97405189620758,358.2435129740519,134.20654690618747,0.12501792114695343,19.0,0.1573624902450954,1.6330357142857141,6.379241516966068,3.539920159680639,0.44508760951188986,1.8562874251497006
freiburg_altstadt,held_out,learned,200,0.8,seed,821,1417,596,0.5793930839802399,0,2463.0,188.9208282582217,472.2289890377588,252.5288672350793,0.4652781442392266,67.0,0.5788557080539636,1.306896551724138,6.108404384896468,2.9086479902557856,0.5238285144566301,2.23020706455542
freiburg_altstadt,held_out,learned,200,1.2,seed,909,1752,843,0.5188356164383562,0,2727.0,188.94609460946094,457.5522552255226,247.9819911991196,0.5718986367634126,74.0,0.5756169857909221,1.3931034482758622,5.762376237623762,2.638063806380638,0.5421916762122948,2.1353135313531353
freiburg_altstadt,held_out,max-pressure,200,0.8,seed,813,1415,602,0.5745583038869257,0,2439.0,144.89790897908978,434.680196801968,220.02821648216496,0.41319591029023767,58.0,0.34769122996066154,1.568103448275862,5.697416974169742,3.6051660516605164,0.36722797927461137,1.4428044280442804
freiburg_altstadt,held_out,max-pressure,200,1.2,seed,834,1747,913,0.477389811104751,0,2502.0,141.80935251798562,422.3033573141487,210.08111510791352,0.5939094107299913,75.0,0.6582623999999024,1.5629310344827585,5.581534772182255,3.4808153477218227,0.37636949516648766,1.4808153477218224
freiburg_altstadt,held_out,queue,200,0.8,seed,697,1415,718,0.4925795053003534,0,2091.0,126.40459110473458,399.2022955523673,193.4420516499281,0.4924560246262099,61.0,0.6967068979760662,1.4637931034482758,5.490674318507891,3.4332855093256813,0.3747060360595767,1.423242467718795
freiburg_altstadt,held_out,queue,200,1.2,seed,764,1750,986,0.43657142857142855,0,2292.0,136.9973821989529,397.35340314136124,197.66340314136113,0.6291347845206681,78.0,0.7535807939034016,1.5439655172413793,5.291884816753926,3.31282722513089,0.373979718031165,1.3638743455497382
karlsruhe_oststadt,train,learned,,0.8,mean,796,935,139,0.8513368983957219,0,2388.0,123.76633165829146,370.8894472361809,171.15526381909552,0.24191328175370888,26.0,0.20945114097465614,1.1341463414634148,5.581658291457287,2.437185929648241,0.5633580913796984,2.25
karlsruhe_oststadt,train,learned,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
karlsruhe_oststadt,train,learned,,1.2,mean,820,1052,232,0.779467680608365,0,2460.0,115.81829268292682,359.7621951219512,162.04390243902444,0.3191183107672465,34.0,0.3869288875908012,1.2097560975609756,5.463414634146342,2.381707317073171,0.5640625,2.2487804878048783
karlsruhe_oststadt,train,learned,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
karlsruhe_oststadt,train,max-pressure,,0.8,mean,787,935,148,0.841711229946524,0,2361.0,96.57306226175349,347.2083862770013,150.04986022871668,0.22955512572533787,29.0,0.22955688576347238,1.3987804878048782,5.41423125794155,3.1385006353240152,0.420323867636705,1.6099110546378652
karlsruhe_oststadt,train,max-pressure,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
karlsruhe_oststadt,train,max-pressure,,1.2,mean,850,1051,201,0.8087535680304472,0,2550.0,103.32352941176471,353.94117647058823,156.21748235294123,0.27049323017408183,33.0,0.25779520909982534,1.5036585365853659,5.415294117647059,3.1694117647058824,0.4147295242233326,1.6152941176470588
karlsruhe_oststadt,train,max-pressure,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
karlsruhe_oststadt,train,queue,,0.8,mean,770,935,165,0.8235294117647058,0,2310.0,94.56103896103896,346.72597402597404,146.65592207792199,0.25290780141844155,33.0,0.32314218769538966,1.2804878048780488,5.441558441558442,3.0753246753246755,0.43484486873508355,1.8025974025974025
karlsruhe_oststadt,train,queue,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
karlsruhe_oststadt,train,queue,,1.2,mean,835,1051,216,0.7944814462416746,0,2505.0,98.84790419161676,351.63952095808384,152.39396407185637,0.28241457124435776,33.0,0.31449039340891927,1.4182926829268294,5.386826347305389,3.126946107784431,0.4195197865718097,1.697005988023952
karlsruhe_oststadt,train,queue,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mannheim_innenstadt,train,learned,,0.8,mean,671,1514,843,0.4431968295904888,0,2013.0,146.548435171386,379.0953800298063,195.86709388971684,0.41665301665301785,34.0,1.0821051786712796,0.8863095238095238,7.76602086438152,2.8375558867362147,0.6346190750335828,3.22354694485842
mannheim_innenstadt,train,learned,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mannheim_innenstadt,train,learned,,1.2,mean,786,1803,1017,0.43594009983361065,0,2358.0,142.77480916030535,381.89312977099235,193.0552544529262,0.4519963144963143,34.0,0.9559235132371993,1.013095238095238,7.895674300254453,2.984732824427481,0.6219787302610377,3.2340966921119594
mannheim_innenstadt,train,learned,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mannheim_innenstadt,train,max-pressure,,0.8,mean,989,1523,534,0.649376231122784,0,2967.0,106.34984833164813,386.17694641051565,183.96076845298276,0.2459684684684684,34.0,0.5240965353045169,1.2636904761904764,9.081900910010111,4.692618806875632,0.4832999331997328,2.532861476238625
mannheim_innenstadt,train,max-pressure,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mannheim_innenstadt,train,max-pressure,,1.2,mean,1077,1816,739,0.5930616740088106,0,3231.0,107.40854224698236,382.9442896935933,181.81644382544104,0.31260032760032735,43.0,0.6765045020466698,1.3386904761904763,8.780872794800372,4.492107706592386,0.48842127524584966,2.584029712163417
mannheim_innenstadt,train,max-pressure,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mannheim_innenstadt,train,queue,,0.8,mean,1021,1525,504,0.6695081967213115,0,3063.0,113.1488736532811,398.76493633692456,195.8760920666016,0.23198607698607687,34.0,0.4374174567597976,1.2482142857142857,9.183153770812929,4.749265426052889,0.4828284982935154,2.56513222331048
mannheim_innenstadt,train,queue,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mannheim_innenstadt,train,queue,,1.2,mean,1121,1819,698,0.6162726772952172,0,3363.0,109.87154326494202,387.93220338983053,186.65984834968756,0.29045864045864067,34.0,0.5845819979489051,1.3523809523809525,8.910793933987511,4.573595004460303,0.48673540894984485,2.56021409455843
mannheim_innenstadt,train,queue,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stuttgart_mitte,train,learned,,0.8,mean,973,2115,1142,0.46004728132387707,0,2919.0,148.672147995889,396.19424460431657,198.76977389516932,0.6433421891604676,38.0,1.1928578417464393,1.2673913043478262,5.776978417266187,2.5200411099691675,0.5637786870663583,2.2908530318602263
stuttgart_mitte,train,learned,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stuttgart_mitte,train,learned,,1.2,mean,1194,2787,1593,0.4284176533907427,0,3582.0,159.07370184254606,402.04522613065325,206.2131825795646,0.8044589089620968,61.0,1.363053410629731,1.3507246376811595,5.66499162479062,2.412897822445561,0.5740685984624483,2.241206030150754
stuttgart_mitte,train,learned,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stuttgart_mitte,train,max-pressure,,0.8,mean,1036,2108,1072,0.49146110056925996,0,3108.0,106.71138996138995,360.72586872586874,161.02571428571414,0.5589071909316332,38.0,0.9510763554061001,1.5217391304347827,5.97972972972973,3.411196911196911,0.4295399515738499,1.777992277992278
stuttgart_mitte,train,max-pressure,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stuttgart_mitte,train,max-pressure,,1.2,mean,1318,2781,1463,0.4739302409205322,0,3954.0,113.44764795144158,372.62139605462824,173.77783763277728,0.6637221041445268,73.0,0.8898164540037582,1.6681159420289855,5.81866464339909,3.5022761760242793,0.39809623158169255,1.6327769347496206
stuttgart_mitte,train,max-pressure,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stuttgart_mitte,train,queue,,0.8,mean,1178,2124,946,0.5546139359698682,0,3534.0,113.4151103565365,382.22156196943973,175.88708828522954,0.47438186326602905,37.0,0.6375737470303265,1.5971014492753624,5.905772495755518,3.4821731748726656,0.41037803650998994,1.699490662139219
stuttgart_mitte,train,queue,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stuttgart_mitte,train,queue,,1.2,mean,1279,2768,1489,0.4620664739884393,0,3837.0,105.56763096168882,365.71227521501174,164.8032290852227,0.7141108749557202,64.0,1.1740401279535424,1.692753623188406,5.767005473025802,3.45113369820172,0.4015726681127983,1.6231430805316653
stuttgart_mitte,train,queue,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heidelberg_bergheim,train,learned,,0.8,mean,675,1051,376,0.6422454804947669,0,2025.0,125.59407407407407,392.21777777777777,174.18782222222242,0.30289090501792215,23.0,0.6680588481337864,1.0383928571428571,5.8133333333333335,2.1955555555555555,0.6223241590214067,2.462222222222222
heidelberg_bergheim,train,learned,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heidelberg_bergheim,train,learned,,1.2,mean,622,1265,643,0.491699604743083,0,1866.0,105.09807073954984,359.11575562700966,149.1528778135048,0.43300515232975034,45.0,1.1277536506499113,0.9946428571428572,5.514469453376206,2.059485530546624,0.6265306122448979,2.4517684887459805
heidelberg_bergheim,train,learned,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heidelberg_bergheim,train,max-pressure,,0.8,mean,907,1051,144,0.8629876308277831,1,2721.0,74.79272326350606,357.95700110253586,129.28396912899657,0.07882392473118267,16.0,0.03224998089418596,1.60625,6.454244762954796,3.456449834619625,0.46446873932353944,1.9151047409040793
heidelberg_bergheim,train,max-pressure,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heidelberg_bergheim,train,max-pressure,,1.2,mean,1008,1271,263,0.7930763178599528,0,3024.0,75.86111111111111,358.5515873015873,130.51592261904761,0.12463261648745541,20.0,0.12524618287712966,1.7214285714285715,6.464285714285714,3.5515873015873014,0.45058317986494784,1.8412698412698412
heidelberg_bergheim,train,max-pressure,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heidelberg_bergheim,train,queue,,0.8,mean,880,1051,171,0.8372978116079924,0,2640.0,64.58068181818182,346.9170454545455,119.27627272727277,0.0919903673835127,15.0,0.12948759684325506,1.5223214285714286,6.469318181818182,3.5977272727272727,0.44387844721587916,1.8602272727272726
heidelberg_bergheim,train,queue,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heidelberg_bergheim,train,queue,,1.2,mean,1002,1271,269,0.7883556254917388,0,3006.0,78.97405189620758,358.2435129740519,134.20654690618747,0.12501792114695343,19.0,0.1573624902450954,1.6330357142857141,6.379241516966068,3.539920159680639,0.44508760951188986,1.8562874251497006
heidelberg_bergheim,train,queue,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freiburg_altstadt,held_out,learned,,0.8,mean,821,1417,596,0.5793930839802399,0,2463.0,188.9208282582217,472.2289890377588,252.5288672350793,0.4652781442392266,67.0,0.5788557080539636,1.306896551724138,6.108404384896468,2.9086479902557856,0.5238285144566301,2.23020706455542
freiburg_altstadt,held_out,learned,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freiburg_altstadt,held_out,learned,,1.2,mean,909,1752,843,0.5188356164383562,0,2727.0,188.94609460946094,457.5522552255226,247.9819911991196,0.5718986367634126,74.0,0.5756169857909221,1.3931034482758622,5.762376237623762,2.638063806380638,0.5421916762122948,2.1353135313531353
freiburg_altstadt,held_out,learned,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freiburg_altstadt,held_out,max-pressure,,0.8,mean,813,1415,602,0.5745583038869257,0,2439.0,144.89790897908978,434.680196801968,220.02821648216496,0.41319591029023767,58.0,0.34769122996066154,1.568103448275862,5.697416974169742,3.6051660516605164,0.36722797927461137,1.4428044280442804
freiburg_altstadt,held_out,max-pressure,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freiburg_altstadt,held_out,max-pressure,,1.2,mean,834,1747,913,0.477389811104751,0,2502.0,141.80935251798562,422.3033573141487,210.08111510791352,0.5939094107299913,75.0,0.6582623999999024,1.5629310344827585,5.581534772182255,3.4808153477218227,0.37636949516648766,1.4808153477218224
freiburg_altstadt,held_out,max-pressure,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freiburg_altstadt,held_out,queue,,0.8,mean,697,1415,718,0.4925795053003534,0,2091.0,126.40459110473458,399.2022955523673,193.4420516499281,0.4924560246262099,61.0,0.6967068979760662,1.4637931034482758,5.490674318507891,3.4332855093256813,0.3747060360595767,1.423242467718795
freiburg_altstadt,held_out,queue,,0.8,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freiburg_altstadt,held_out,queue,,1.2,mean,764,1750,986,0.43657142857142855,0,2292.0,136.9973821989529,397.35340314136124,197.66340314136113,0.6291347845206681,78.0,0.7535807939034016,1.5439655172413793,5.291884816753926,3.31282722513089,0.373979718031165,1.3638743455497382
freiburg_altstadt,held_out,queue,,1.2,standard_deviation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
